categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
Officine/Artigiani,Varese,Zanotti Autoriparazioni Varese Classic Sport Car,"Via Piemonte, 8 - 21100 Varese (VA)","0332 287117, 0332 289695",,,
Officine/Artigiani,Varese,Carrozzeria San Rocco,,"0332 263201, 328 5940913",,,
Officine/Artigiani,Varese,Top Tyres Italia,"Via Montebello, 3 - 21100 Varese (VA)","0332 320034, 345 7081629",,,
Officine/Artigiani,Varese,Carrozzeria F.lli Palazzo,"Via Oldofredi Ercole, 41 - 21100 Varese (VA)","0332 223400, 3515 578416",,,
Officine/Artigiani,Varese,Carrozzeria Ramacar,"Via Pola, 15 - 21100 Varese (VA)",0332 335266,,,
Officine/Artigiani,Varese,Garage Montebello,"Viale Montebello, 5 - 21100 Varese (VA)","0332 313143, 0332 313153",,,
Officine/Artigiani,Varese,Autorimessa Gumirato Giacomo Off. Meccanica,"Via Avegno Carlo, 4 - 21100 Varese (VA)",0332 281532,,,
Officine/Artigiani,Varese,Elettrauto Officina Meccanica Rimoldi,"Via Tamagno Francesco, 9 - 21100 Varese (VA)",0332 265492,,,
Officine/Artigiani,Varese,Micron Officina Costruzioni Meccaniche,"Via Sanvito Silvestro, 92 - 21100 Varese (VA)","0332 429605, 0332 862120, 0332 425850",,,
Officine/Artigiani,Varese,Officina Meccanica Gaggini S.n.c. di Gaggini Elisa e Cassetta Mario,"Via Istria, 11 - 21100 Varese (VA)",0332 332203,,,
Officine/Artigiani,Varese,Autosalone delle Coste Daniele,"Via Jamoretti, 20 - 21100 Varese (VA)",0332 335188,,,
Officine/Artigiani,Varese,Carpenteria Ottone e Petterlin,,0321 97234,,,
Officine/Artigiani,Varese,Sage S.r.l.,"Via Cesariano, 27 - 21056 Induno Olona (VA)","0332 201069, 335 1780981, 335 7548192",,,
Officine/Artigiani,Varese,O.M.T. Officina Meccanica,"Via Regina Nuova, 59 - 22010 Carate Urio (CO)",031 401234,,,
Officine/Artigiani,Varese,Galim,"Via Como, 15 - 20020 Lainate (MI)",02 9371472,,,
Officine/Artigiani,Varese,Tools Distribution,"Via Colombera, 29 - 21048 Solbiate Arno (VA)",0362 996513,,,
Officine/Artigiani,Como,Manzoni Carlo e Giulio,,0341 880252,,,
Officine/Artigiani,Como,Officina Meccanica Busnelli e Legnani,,02 9603192,,,
Officine/Artigiani,Como,Futurauto Nuova Autodemolizione Comasca,"Via Donato Frisia, 93 - 22100 Como (CO)",351 6693845,,,
Officine/Artigiani,Como,C.R. Costruzioni Meccaniche Reani Snc,"Via Cantoniga, 11 - 22100 Como (CO)",031 523440,,,
Officine/Artigiani,Como,Loris Moto Sport,"Via Cernobbio, 37 - 22100 Como (CO)","031 576257, 031 3385533",,,
Officine/Artigiani,Como,Meccanotintex di Arnaboldi Claudio,"Via Casati Elena, 11 - 22100 Como (CO)",031 520605,,,
Officine/Artigiani,Como,Moretti S.a.s. di Moretti Dario e C.,"Via Casartelli Giuseppe, 7 - 22100 Como (CO)",031 7186073,,,
Officine/Artigiani,Como,Moretti S.r.l.,"Via Casartelli Giuseppe, 7 - 22100 Como (CO)",031 507919,,,
Officine/Artigiani,Como,O.M.C. di Morini Massimo G.C. S.n.c.,"Via del Lavoro, 5 - 22100 Como (CO)",031 521880,,,
Officine/Artigiani,Como,Car Care Como S.R.L.,"Via Minzoni Don Giovanni, 16 - 22100 Como (CO)","031 3313511, 345 2663478",,,
Officine/Artigiani,Como,Lulu' Car Service Autofficina Meccanica,"Via Bonifacio da Modena, 18 - 22100 Como (CO)","031 395065, 334 1478858, 327 1209432",,,
Officine/Artigiani,Como,O.M.S. Officina Meccanica Stampi,,031 641518,,,
Officine/Artigiani,Como,Officina Meccanica Brugger S.r.l.,"Via Borsieri Gerolamo, 27 - 22100 Como (CO)","031 268247, 031 3306643",,,
Officine/Artigiani,Como,Pmo Racing,,349 7441981,,,
Officine/Artigiani,Como,Ape Prest S.n.c. di Atene Gaetano & C.,"Via Piemonte, 9 - 22063 Cantù (CO)",031 2741162,,,
Officine/Artigiani,Como,Baiguera Franco e C. S.n.c.,"Via Roma, 58 - 22070 Senna Comasco (CO)",031 705609,,,
Officine/Artigiani,Como,Benedini Renato,"Via Roma, 3 - 22010 Carate Urio (CO)",031 401186,,,
Officine/Artigiani,Como,Bitek S.r.l.,"Via Manara Luciano, 7 - 22036 Erba (CO)",031 3355214,,,
Officine/Artigiani,Como,Bongini Stefano Lavorazioni Metalliche,,"031 712426, 031 6123199",,,
Officine/Artigiani,Como,Borghi S.r.l. Lavorazioni Meccaniche,,031 452269,,,
Officine/Artigiani,Como,Clerici Luigi,"Via Trieste, 6 - 22070 Luisago (CO)",031 928726,,,
Officine/Artigiani,Como,Dana Italia S.p.a.,"Via Dell' Industria, 4 - 22070 Montano Lucino (CO)","031 471962, 031 4721557, 031 4782111",,,
Officine/Artigiani,Como,Epson Como Printing Technologies S.r.l.,"Via Firenze, 3 - 22079 Villa Guardia (CO)","031 483319, 031 563121",,,
Officine/Artigiani,Como,Rusconi Ferdinando e C.,"Via Giacomo Matteotti, 23/A - 23824 Dervio (LC)",0341 850146,,,
Officine/Artigiani,Como,F.lli Franchi,"Via Cascina California, 15 - 22036 Erba (CO)",031 3355172,,,
Lavanderie,Varese,Gi.Ma. Service Srl,"Via Andrea Appiani, 14 - 21100 Varese (VA)",347 9334813,,,
Lavanderie,Varese,Europelle S.a.s. di Ciccone Giovanni & Manzali Gabriele,"Via Monte Grappa, 56 - 21040 Carnago (VA)",0331 992809,,,
Lavanderie,Varese,Professione Pulito,"Via dei Ronchetti, 34 - 21056 Induno Olona (VA)",0332 202885,,,
Lavanderie,Varese,Val Group,"Viale dello Sport, 17 - 21026 Gavirate (VA)",0332 747848,,,
Lavanderie,Varese,Lavasecco Everest,"Piazza dalla Chiesa, 8 - 21022 Azzate (VA)",331 5261283,,,
Lavanderie,Varese,L.A.I.B. Lavanderia,"Via Alessandro Manzoni, 25 - 22070 Beregazzo con Figliaro (CO)",031 988295,,,
Lavanderie,Varese,Esseemme S.r.l.,"Via Praderio, 1 - 21013 Gallarate (VA)",0331 570858,,,
Lavanderie,Varese,L.A.I.B. Snc Lavanderia,"Via Manzoni Alessandro, 25 - 22070 Beregazzo (CO)",031 988295,,,
Lavanderie,Varese,Lakewash S.a.s. di Bellanca Carmela & C.,"Via Volta Alessandro, 26 - 22060 Cucciago (CO)",031 787744,,,
Lavanderie,Varese,L.A.M. di Conte Roberto & C. S.n.c.,"Via Fagnano Olona, 15 - 21052 Busto Arsizio (VA)",0331 632100,,,
Lavanderie,Varese,Nolo Verde di Paola Barbieri & C. S.a.s.,"Via Gramsci Antonio, 7 - 21013 Gallarate (VA)",0331 348979,,,
Lavanderie,Varese,Tintoria P.A. Jacchetti,"Via del Dos, 15 - 22100 Como (CO)","031 507889, 031 525288, 031 481609",,,
Lavanderie,Varese,Ve.Ma. Lavanderia Industriale,"Via Dante Alighieri, 41 - 21034 Cocquio-Trevisago (VA)",0332 975192,,,
Lavanderie,Como,L.A.I.B. Lavanderia,,031 988295,,,
Lavanderie,Como,Lavariva Sas,,031 4477400,,,
Lavanderie,Como,As.Tec. Impianti,"Via Milanese, 18 - 22040 Alserio (CO)","031 303454, 327 3971639",,,
Lavanderie,Como,Texilario,"Via Geret al Lambro, 19 - 22037 Ponte Lambro (CO)","031 3355034, 366 5333744",,,
Lavanderie,Como,1 H Solar S.n.c. di Rubino Emanuele & C.,"Corso Milano, 32 - 20813 Bovisio Masciago (MB)",0362 558371,,,
Lavanderie,Como,3dlog S.r.l.,"Via Turati Filippo, 22 - 22060 Carugo (CO)",031 764211,,,
Lavanderie,Como,Alma S.r.l.,"Via Solferino, 35 - 20841 Carate Brianza (MB)",346 5178028,,,
Lavanderie,Como,Clean Catering Clothes S.r.l.,,02 96329489,,,
Lavanderie,Como,Clearkit S.r.l.,"Via Don Giovanni Bosco, 8 - 20811 Cesano Maderno (MB)",0362 585100,,,
Lavanderie,Como,Dibi Service S.r.l.,"Via Lavoratori Autobianchi, 1 - 20832 Desio (MB)",0362 626940,,,
Lavanderie,Como,Hospital Service S.r.l.,,031 7185217,,,
Lavanderie,Como,La Boutique del Pulito 3,"Via Pola, 9 - 20833 Giussano (MB)",0362 311052,,,
Lavanderie,Como,Laundry Global Service S.r.l.,,031 941098,,,
Lavanderie,Como,Lavanderia Industriale Lavajet,"Via del Laghetto, 5 - 22060 Novedrate (CO)","345 2447373, 031 2241978",,,
Lavanderie,Como,Lavanderia Lombarda Industriale Service Spa,"Via Oberdan Guglielmo, 61 - 20823 Lentate sul Seveso (MB)","0362 5371, 0362 5370, 0362 537002",,,
Lavanderie,Como,Limar di Marzorati Alberto,"Via Maestri del Lavoro, 1 - 20813 Bovisio Masciago (MB)",0362 285657,,,
Lavanderie,Como,M.R. di Rossini Roberto & C. S.a.s.,"Via Trieste, 26 - 22036 Erba (CO)",031 643869,,,
Lavanderie,Como,New Giglio S.a.s. di Racioppi Giacomo & C.,"Via Conte Paolo Taverna, 28 - 20844 Triuggio (MB)",0362 997602,,,
Hotel/B&B,Como,Casa Albergo Ca'Merlata,"Via Pino Domenico, 6 - 22100 Como (CO)",031 505398,,,
Hotel/B&B,Como,Hotel Lizard,,031 4038102,,,
Hotel/B&B,Como,B&B Hotel Como Baradello,,"031 5378707, 031 5378707, 031 5378708",,,
Hotel/B&B,Como,B&B Hotel Como Camerlata,"Via Pasquale Paoli, 21 - 22100 Como (CO)","02 89691509, 02 89691509",,,
Hotel/B&B,Como,B&B Hotel Como City Center,"Via Innocenzo XI, 15 - 22100 Como (CO)","02 89691537, 02 89691537",,,
Hotel/B&B,Como,Mama Shelter Lake Como,,,,,
Hotel/B&B,Como,"Palazzo San Gottardo Lake Como, a Radisson Collection Hotel",,031 346111,,,
Hotel/B&B,Como,Gusto,,031 5161601,,,
Hotel/B&B,Como,Streetfood,"Via Borgo Vico, 241 - 22100 Como (CO)",031 3382611,,,
Hotel/B&B,Como,Ristorante Raimondi,"Via Cernobbio, 12 - 22100 Como (CO)",031 33820,,,
Hotel/B&B,Como,La Locanda dell'Oca Bianca,"Via Canturina, 251 - 22100 Como (CO)",031 525605,,,
Hotel/B&B,Como,Ristorante Bar delle Terme,,031 329111,,,
Hotel/B&B,Como,Quarcino,,031 303934,,,
Hotel/B&B,Como,Tre Re,"Via Boldoni Pietro, 20 - 22100 Como (CO)","031 265374, 031 265374",,,
Hotel/B&B,Como,Le Due Corti,"Piazza Vittoria, 12 - 22100 Como (CO)",031 5375150,,,
Hotel/B&B,Como,Como030,"Via Mentana, 28 - 22100 Como (CO)",031 266173,,,
Hotel/B&B,Como,Avenue,"Piazza Terragni, 6 - 22100 Como (CO)","031 272186, 392 0330015, 392 0330015",,,
Hotel/B&B,Como,Avenue Hotel,"Via Giulini Giorgio, 12 - 22100 Como (CO)",031 272186,,,
Hotel/B&B,Como,Borgovico,"Via Borgo Vico, 91 - 22100 Como (CO)","031 570107, 031 570107",,,
Hotel/B&B,Como,Duomo Boutique Hotel,"Via Maestri Comacini, 1 - 22100 Como (CO)",031 5375225,,,
Hotel/B&B,Como,Engadina,"Viale Rosselli Fratelli, 22 - 22100 Como (CO)",031 570008,,,
Hotel/B&B,Como,Hotel 2000,"Via San Gusmeo, 3 - 22015 Gravedona ed Uniti (CO)",333 1915168,,,
Hotel/B&B,Como,Sara Hotel,"Via Santa Valeria, 10 - 22030 Caglio (CO)","031 667015, 371 4551213",,,
Hotel/B&B,Como,Albergo Mira,"Via Walder Giuseppe Vincenzo, 45 - 21100 Varese (VA)","0332 286465, 338 9280638",,,
Hotel/B&B,Varese,Hotel Ristorante Eden,"Via Elvezia, 39 - 21050 Gaggiolo (VA)","0332 414007, 339 1433079",,,
Hotel/B&B,Varese,Meat Eat,"Via Macchi Giovanni, 61 - 21100 Varese (VA)",391 7644341,,,
Hotel/B&B,Varese,Bologna,"Via Broggi Giuseppe, 7 - 21100 Varese (VA)",0332 234362,,,
Hotel/B&B,Varese,Mariuccia,"Via Macchi Giovanni, 141 - 21100 Varese (VA)",0332 1570927,,,
Hotel/B&B,Varese,Bis Hotel,"Via Fusinato Arnaldo, 35 - 21100 Varese (VA)","0332 1810166, 392 0011275",,,
Hotel/B&B,Varese,City Hotel Varese,"Via Medaglie D'Oro, 35 - 21100 Varese (VA)",0332 281304,,,
Hotel/B&B,Varese,Hotel di Varese,"Via Como, 12 - 21100 Varese (VA)",0332 237559,,,
Hotel/B&B,Varese,Vecchia Riva,,"0332 329335, 0332 329300, 351 8091684",,,
Hotel/B&B,Varese,Stelvio,"Via Tonale, 10 - 21100 Varese (VA)","0332 334800, 0332 334800",,,
Hotel/B&B,Varese,Art Hotel,"Viale Aguggiari Padre Gian Battista, 26 - 21100 Varese (VA)","0332 214000, 340 8235668",,,
Hotel/B&B,Varese,Capolago,"Via per Bodio, 74 - 21100 Varese (VA)",0332 831840,,,
Hotel/B&B,Varese,Europa,"Piazza Beccaria Cesare, 1 - 21100 Varese (VA)","0332 280170, 338 8718855",,,
Hotel/B&B,Varese,Belforte,"Viale Belforte, 114 - 21100 Varese (VA)",0332 331600,,,
Hotel/B&B,Varese,Colonne,,0332 220404,,,
Hotel/B&B,Varese,Agriturismo dei Piaceri Campestri,"Via del Puntale, 20 - 21100 Varese (VA)",0332 320831,,,
Hotel/B&B,Varese,Al Borducan,"Via Moriggi Beata Caterina, 43 - 21100 Varese (VA)",0332 220567,,,
Hotel/B&B,Varese,Al Sei Rooms,"Via Speri della Chiesa Jemoli, 6 - 21100 Varese (VA)",338 5777307,,,
Hotel/B&B,Varese,Appartamenti Saverio,"Via Pasetti Giuseppe, 18 - 21100 Varese (VA)",339 7302401,,,
Hotel/B&B,Varese,Bistrot Colonne,,0332 220404,,,
Hotel/B&B,Varese,Casa Radiosa,"Via Piave, 1 - 21100 Varese (VA)",351 6725671,,,
Hotel/B&B,Varese,Crystal Hotel Varese,,0332 1950702,,,
Hotel/B&B,Varese,De Filippis Patrizia,"Via Leopardi Giacomo, 19 - 21100 Varese (VA)",338 7303017,,,
Hotel/B&B,Varese,Horizon Wellness & Spa Resort,"Via Macchi Giovanni, 61 - 21100 Varese (VA)",0332 1880536,,,
Hotel/B&B,Varese,Hotel Albergo Sunset,"Piazza Monte Grappa, 4 - 21100 Varese (VA)",0332 731023,,,
Hotel/B&B,Verbania,Pallanza,"Viale delle Magnolie, 6 - 28922 Verbania (VB)",0323 503202,,,
Hotel/B&B,Verbania,Intra,"Corso Mameli Goffredo, 133 - 28921 Verbania (VB)",0323 581393,,,
Hotel/B&B,Verbania,Pesce d'Oro,"Via Troubetzkoy Paolo, 136 - 28925 Verbania (VB)",0323 504445,,,
Hotel/B&B,Verbania,Sant'Anna,"Viale Sant'Anna, 65 - 28900 Verbania (VB)",0323 556086,,,
Hotel/B&B,Verbania,Societa' Cooperativa Hotel Service Vco,"Piazza Minzoni Don Giovanni, 33 - 28921 Verbania (VB)",0323 516727,,,
Hotel/B&B,Verbania,Villa della Quercia,,0323 556692,,,
Hotel/B&B,Verbania,Affittacamere Piazza,,0323 504445,,,
Hotel/B&B,Verbania,Al Centro,"Via alle Fabbriche, 7 - 28922 Verbania (VB)",0323 519568,,,
Hotel/B&B,Verbania,Ancora,"Corso Mameli Goffredo, 65 - 28921 Verbania (VB)","0323 53951, 340 2913467",,,
Hotel/B&B,Verbania,Appartamenti Vista Lago,"Via dei Castani, 48 - 28922 Verbania (VB)",339 2734865,,,
Hotel/B&B,Verbania,Aquadolce,"Via Cietti Costantino, 1 - 28922 Verbania (VB)",0323 505418,,,
Hotel/B&B,Verbania,Calzedonia,,0323 209036,,,
Hotel/B&B,Verbania,Camping Lido Toce,,0323 496220,,,
Hotel/B&B,Verbania,Camping Village Isolino S.r.l.,"Via alle Betulle, 1 - 28924 Verbania (VB)","0323 496080, 0323 586788, 0323 586789",,,
Hotel/B&B,Verbania,Casa Alla Fontana,"Via dei Partigiani, 99 - 28925 Verbania (VB)",,,,
Hotel/B&B,Verbania,Casa Immacolata,"Via Vittorio Veneto, 113 - 28922 Verbania (VB)",0323 403170,,,
Hotel/B&B,Verbania,Casa Vacanze Touring,"Corso Garibaldi Giuseppe, 28 - 28921 Verbania (VB)",347 2248938,,,
Hotel/B&B,Verbania,Costazzurra S.r.l.,"Via Quarantadue Martiri, 24 - 28924 Verbania (VB)",347 3773719,,,
Hotel/B&B,Verbania,Europalace,"Viale delle Magnolie, 16 - 28922 Verbania (VB)",0323 556441,,,
Hotel/B&B,Verbania,Fiorenza Hotels di Fiorenza Michele & C. S.n.c.,"Viale delle Magnolie, 10 - 28922 Verbania (VB)",0323 556468,,,
Hotel/B&B,Verbania,Grand Hotel Majestic,"Via Vittorio Veneto, 32 - 28922 Verbania (VB)",0323 509711,,,
Hotel/B&B,Verbania,Hotel Ancora,,0323 53951,,,
Hotel/B&B,Verbania,Hotel Casa Camilla,,0323 401482,,,
Hotel/B&B,Verbania,Hotel San Gottardo,"Viale delle Magnolie, 6 - 28922 Verbania (VB)",0323 503202,,,
Hotel/B&B,Verbania,Hotel Villa Aurora,,0323 401482,,,
Hotel/B&B,Verbania,Hotel Vittoria Premeno,"Via Regina Elena, 1 - 28818 Premeno (VB)",0323 587024,,,
